Detected Linux/other - using native python3
Results will be saved to: results/creditcard_20260514_141901
Dataset: creditcard

Activating virtual environment (Linux: ~/Downloads/venv)...
==============================================
STARTING A2QA BASELINE EXPERIMENTS
==============================================

==============================================
EXPERIMENT 1: Minimal Viable Baseline
==============================================
[I 2026-05-14 14:19:03,284] A new study created in memory with name: no-name-d2e84c05-96e5-4891-9bb6-b7786f69a093
[I 2026-05-14 14:19:04,485] Trial 0 finished with value: 0.8380952380952381 and parameters: {'n_estimators': 311, 'max_depth': 7, 'learning_rate': 0.15257372784439052, 'scale_pos_weight': 561.7482774926185}. Best is trial 0 with value: 0.8380952380952381.
[I 2026-05-14 15:22:33,423] Trial 1 finished with value: 0.8113207547169812 and parameters: {'n_estimators': 349, 'max_depth': 7, 'learning_rate': 0.16610794562461062, 'scale_pos_weight': 451.9911402211892}. Best is trial 0 with value: 0.8301886792452831.
[I 2026-05-14 15:22:34,962] Trial 2 finished with value: 0.8301886792452831 and parameters: {'n_estimators': 139, 'max_depth': 6, 'learning_rate': 0.06990073824078862, 'scale_pos_weight': 446.887048503941}. Best is trial 0 with value: 0.8301886792452831.
[I 2026-05-14 15:22:36,887] Trial 3 finished with value: 0.8392857142857143 and parameters: {'n_estimators': 104, 'max_depth': 3, 'learning_rate': 0.12431292325102052, 'scale_pos_weight': 563.7571448145728}. Best is trial 3 with value: 0.8392857142857143.
[I 2026-05-14 15:22:42,013] Trial 4 finished with value: 0.8073394495412844 and parameters: {'n_estimators': 235, 'max_depth': 4, 'learning_rate': 0.05548222052747213, 'scale_pos_weight': 605.9355985411858}. Best is trial 3 with value: 0.8392857142857143.
[I 2026-05-14 15:22:44,197] Trial 5 finished with value: 0.8076923076923077 and parameters: {'n_estimators': 249, 'max_depth': 5, 'learning_rate': 0.11214622501779456, 'scale_pos_weight': 458.22296869443215}. Best is trial 3 with value: 0.8392857142857143.
[I 2026-05-14 15:22:52,440] Trial 6 finished with value: 0.8076923076923077 and parameters: {'n_estimators': 310, 'max_depth': 5, 'learning_rate': 0.11111280948528834, 'scale_pos_weight': 468.6443318585501}. Best is trial 3 with value: 0.8392857142857143.
[I 2026-05-14 15:22:58,363] Trial 7 finished with value: 0.8113207547169812 and parameters: {'n_estimators': 173, 'max_depth': 4, 'learning_rate': 0.14559775866867192, 'scale_pos_weight': 614.6503090395316}. Best is trial 3 with value: 0.8392857142857143.
[I 2026-05-14 15:23:01,552] Trial 8 finished with value: 0.8380952380952381 and parameters: {'n_estimators': 342, 'max_depth': 3, 'learning_rate': 0.1922793637185332, 'scale_pos_weight': 480.85784812642214}. Best is trial 3 with value: 0.8392857142857143.
[I 2026-05-14 15:23:07,931] Trial 9 finished with value: 0.8070175438596491 and parameters: {'n_estimators': 139, 'max_depth': 3, 'learning_rate': 0.07054018918045368, 'scale_pos_weight': 613.8581522399661}. Best is trial 3 with value: 0.8392857142857143.
[I 2026-05-14 15:23:11,681] Trial 10 finished with value: 0.8545454545454545 and parameters: {'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.13781899742936882, 'scale_pos_weight': 560.8398958297856}. Best is trial 10 with value: 0.8545454545454545.
[I 2026-05-14 15:23:18,133] Trial 11 finished with value: 0.8468468468468469 and parameters: {'n_estimators': 110, 'max_depth': 3, 'learning_rate': 0.13512645269283682, 'scale_pos_weight': 557.9395861421106}. Best is trial 10 with value: 0.8545454545454545.
[I 2026-05-14 15:23:21,942] Trial 12 finished with value: 0.8037383177570093 and parameters: {'n_estimators': 199, 'max_depth': 4, 'learning_rate': 0.1476042863402578, 'scale_pos_weight': 545.7692519708283}. Best is trial 10 with value: 0.8545454545454545.
[I 2026-05-14 15:23:26,466] Trial 13 finished with value: 0.8245614035087719 and parameters: {'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.09844862803878082, 'scale_pos_weight': 522.4449396550492}. Best is trial 10 with value: 0.8545454545454545.
[I 2026-05-14 15:23:29,575] Trial 14 finished with value: 0.8113207547169812 and parameters: {'n_estimators': 201, 'max_depth': 4, 'learning_rate': 0.14650508059092504, 'scale_pos_weight': 581.4471029293346}. Best is trial 10 with value: 0.8545454545454545.
[I 2026-05-14 15:23:31,463] Trial 15 finished with value: 0.8392857142857143 and parameters: {'n_estimators': 107, 'max_depth': 3, 'learning_rate': 0.15792814263913438, 'scale_pos_weight': 509.08075553695085}. Best is trial 10 with value: 0.8545454545454545.
[I 2026-05-14 15:23:42,138] Trial 16 finished with value: 0.8076923076923077 and parameters: {'n_estimators': 293, 'max_depth': 6, 'learning_rate': 0.13000425360112663, 'scale_pos_weight': 532.5574215528438}. Best is trial 10 with value: 0.8545454545454545.
[I 2026-05-14 15:23:44,376] Trial 17 finished with value: 0.8113207547169812 and parameters: {'n_estimators': 397, 'max_depth': 4, 'learning_rate': 0.09255153902693372, 'scale_pos_weight': 418.3965272455806}. Best is trial 10 with value: 0.8545454545454545.
[I 2026-05-14 15:23:46,665] Trial 18 finished with value: 0.819047619047619 and parameters: {'n_estimators': 176, 'max_depth': 6, 'learning_rate': 0.1270235505126396, 'scale_pos_weight': 577.7857956085618}. Best is trial 10 with value: 0.8545454545454545.
[I 2026-05-14 15:23:55,008] Trial 19 finished with value: 0.8440366972477065 and parameters: {'n_estimators': 133, 'max_depth': 3, 'learning_rate': 0.1792185379129219, 'scale_pos_weight': 499.34778062494814}. Best is trial 10 with value: 0.8545454545454545.
[I 2026-05-14 15:23:55,350] Trial 20 finished with value: 0.8 and parameters: {'n_estimators': 196, 'max_depth': 7, 'learning_rate': 0.16562876728243092, 'scale_pos_weight': 554.3633761400727}. Best is trial 10 with value: 0.8545454545454545.
[I 2026-05-14 15:23:57,172] Trial 21 finished with value: 0.8363636363636363 and parameters: {'n_estimators': 130, 'max_depth': 3, 'learning_rate': 0.18384960314216148, 'scale_pos_weight': 499.716386537416}. Best is trial 10 with value: 0.8545454545454545.
[I 2026-05-14 15:23:57,408] Trial 22 finished with value: 0.8148148148148148 and parameters: {'n_estimators': 159, 'max_depth': 3, 'learning_rate': 0.13732599658910258, 'scale_pos_weight': 586.1926273775748}. Best is trial 10 with value: 0.8545454545454545.
[I 2026-05-14 15:23:59,702] Trial 23 finished with value: 0.819047619047619 and parameters: {'n_estimators': 125, 'max_depth': 4, 'learning_rate': 0.16617914631372205, 'scale_pos_weight': 535.9217542868067}. Best is trial 10 with value: 0.8545454545454545.
[I 2026-05-14 15:24:02,001] Trial 24 finished with value: 0.8333333333333334 and parameters: {'n_estimators': 224, 'max_depth': 3, 'learning_rate': 0.19880566023092083, 'scale_pos_weight': 487.71207596548714}. Best is trial 10 with value: 0.8545454545454545.
[I 2026-05-14 15:24:07,023] Trial 25 finished with value: 0.8301886792452831 and parameters: {'n_estimators': 121, 'max_depth': 4, 'learning_rate': 0.17642821037167639, 'scale_pos_weight': 561.670554084125}. Best is trial 10 with value: 0.8545454545454545.
[I 2026-05-14 15:24:07,260] Trial 26 finished with value: 0.8363636363636363 and parameters: {'n_estimators': 165, 'max_depth': 3, 'learning_rate': 0.10776867134229287, 'scale_pos_weight': 516.6320326800256}. Best is trial 10 with value: 0.8545454545454545.
[I 2026-05-14 15:24:07,679] Trial 27 finished with value: 0.819047619047619 and parameters: {'n_estimators': 272, 'max_depth': 5, 'learning_rate': 0.13772034833073005, 'scale_pos_weight': 595.0371098162594}. Best is trial 10 with value: 0.8545454545454545.
[I 2026-05-14 15:24:07,878] Trial 28 finished with value: 0.8363636363636363 and parameters: {'n_estimators': 125, 'max_depth': 3, 'learning_rate': 0.15548891827552885, 'scale_pos_weight': 542.1773697468942}. Best is trial 10 with value: 0.8545454545454545.
[I 2026-05-14 15:24:11,742] Trial 29 finished with value: 0.8148148148148148 and parameters: {'n_estimators': 147, 'max_depth': 4, 'learning_rate': 0.12036515339370568, 'scale_pos_weight': 568.846893792348}. Best is trial 10 with value: 0.8545454545454545.
[I 2026-05-14 15:34:27,760] A new study created in memory with name: no-name-dfb74183-32b0-4eb9-8950-27d32dac0600
[I 2026-05-14 15:34:28,205] Trial 0 finished with value: 0.5240641711229946 and parameters: {'n_estimators': 299, 'max_depth': 7, 'learning_rate': 0.13679542448260829, 'scale_pos_weight': 469.603439142101}. Best is trial 0 with value: 0.5240641711229946.
[I 2026-05-14 15:34:28,361] Trial 1 finished with value: 0.5319148936170213 and parameters: {'n_estimators': 251, 'max_depth': 5, 'learning_rate': 0.11998363021689128, 'scale_pos_weight': 467.0005530917199}. Best is trial 1 with value: 0.5319148936170213.
[I 2026-05-14 15:34:28,598] Trial 2 finished with value: 0.5240641711229946 and parameters: {'n_estimators': 294, 'max_depth': 6, 'learning_rate': 0.15610228495298212, 'scale_pos_weight': 475.1425437384259}. Best is trial 1 with value: 0.5319148936170213.
[I 2026-05-14 15:34:31,045] Trial 3 finished with value: 0.5240641711229946 and parameters: {'n_estimators': 340, 'max_depth': 7, 'learning_rate': 0.18157512137643506, 'scale_pos_weight': 465.9570134532131}. Best is trial 1 with value: 0.5319148936170213.
[I 2026-05-14 15:34:34,099] Trial 4 finished with value: 0.5319148936170213 and parameters: {'n_estimators': 385, 'max_depth': 4, 'learning_rate': 0.1269363480845, 'scale_pos_weight': 535.6746511193601}. Best is trial 1 with value: 0.5319148936170213.
[I 2026-05-14 15:34:36,050] Trial 5 finished with value: 0.5240641711229946 and parameters: {'n_estimators': 343, 'max_depth': 5, 'learning_rate': 0.1782634217069829, 'scale_pos_weight': 499.10201859576034}. Best is trial 1 with value: 0.5319148936170213.
[I 2026-05-14 15:34:38,010] Trial 6 finished with value: 0.5319148936170213 and parameters: {'n_estimators': 118, 'max_depth': 6, 'learning_rate': 0.12395512930237945, 'scale_pos_weight': 524.9944843883171}. Best is trial 1 with value: 0.5319148936170213.
[I 2026-05-14 15:34:39,209] Trial 7 finished with value: 0.5240641711229946 and parameters: {'n_estimators': 367, 'max_depth': 7, 'learning_rate': 0.10389232606750076, 'scale_pos_weight': 503.51103657287115}. Best is trial 1 with value: 0.5319148936170213.
[I 2026-05-14 15:34:39,548] Trial 8 finished with value: 0.5240641711229946 and parameters: {'n_estimators': 380, 'max_depth': 7, 'learning_rate': 0.19477060245586075, 'scale_pos_weight': 590.1289999737056}. Best is trial 1 with value: 0.5319148936170213.
[I 2026-05-14 15:34:46,507] Trial 9 finished with value: 0.5319148936170213 and parameters: {'n_estimators': 358, 'max_depth': 4, 'learning_rate': 0.05724863055669428, 'scale_pos_weight': 535.8964685603239}. Best is trial 1 with value: 0.5319148936170213.
[I 2026-05-14 15:34:47,968] Trial 10 finished with value: 0.5291005291005291 and parameters: {'n_estimators': 192, 'max_depth': 3, 'learning_rate': 0.07579048893709156, 'scale_pos_weight': 422.62715629482216}. Best is trial 1 with value: 0.5319148936170213.
[I 2026-05-14 15:34:51,154] Trial 11 finished with value: 0.5319148936170213 and parameters: {'n_estimators': 226, 'max_depth': 4, 'learning_rate': 0.10276297933700959, 'scale_pos_weight': 582.6128177090229}. Best is trial 1 with value: 0.5319148936170213.
[I 2026-05-14 15:34:55,940] Trial 12 finished with value: 0.5319148936170213 and parameters: {'n_estimators': 163, 'max_depth': 4, 'learning_rate': 0.1392487758576993, 'scale_pos_weight': 560.4034642820623}. Best is trial 1 with value: 0.5319148936170213.
[I 2026-05-14 15:34:59,499] Trial 13 finished with value: 0.5319148936170213 and parameters: {'n_estimators': 266, 'max_depth': 5, 'learning_rate': 0.10391050381503661, 'scale_pos_weight': 423.6775536980863}. Best is trial 1 with value: 0.5319148936170213.
[I 2026-05-14 15:35:05,091] Trial 14 finished with value: 0.5291005291005291 and parameters: {'n_estimators': 223, 'max_depth': 3, 'learning_rate': 0.12087183597580396, 'scale_pos_weight': 552.1026242472784}. Best is trial 1 with value: 0.5319148936170213.
[I 2026-05-14 15:35:07,590] Trial 15 finished with value: 0.5319148936170213 and parameters: {'n_estimators': 104, 'max_depth': 5, 'learning_rate': 0.1559575086931784, 'scale_pos_weight': 614.9155613352358}. Best is trial 1 with value: 0.5319148936170213.
[I 2026-05-14 15:35:11,599] Trial 16 finished with value: 0.5319148936170213 and parameters: {'n_estimators': 394, 'max_depth': 4, 'learning_rate': 0.07997688971028274, 'scale_pos_weight': 443.37585801554155}. Best is trial 1 with value: 0.5319148936170213.
[I 2026-05-14 15:35:14,363] Trial 17 finished with value: 0.5240641711229946 and parameters: {'n_estimators': 306, 'max_depth': 6, 'learning_rate': 0.1474153049456775, 'scale_pos_weight': 499.2764502641421}. Best is trial 1 with value: 0.5319148936170213.
[I 2026-05-14 15:35:21,906] Trial 18 finished with value: 0.5291005291005291 and parameters: {'n_estimators': 158, 'max_depth': 3, 'learning_rate': 0.11374645841424148, 'scale_pos_weight': 448.76122418756813}. Best is trial 1 with value: 0.5319148936170213.
[I 2026-05-14 15:35:22,306] Trial 19 finished with value: 0.5319148936170213 and parameters: {'n_estimators': 255, 'max_depth': 4, 'learning_rate': 0.08771784049304539, 'scale_pos_weight': 485.7691861797593}. Best is trial 1 with value: 0.5319148936170213.
[I 2026-05-14 15:35:26,775] Trial 20 finished with value: 0.5240641711229946 and parameters: {'n_estimators': 326, 'max_depth': 5, 'learning_rate': 0.16723612773514995, 'scale_pos_weight': 542.1171217704592}. Best is trial 1 with value: 0.5319148936170213.
[I 2026-05-14 15:35:31,142] Trial 21 finished with value: 0.5319148936170213 and parameters: {'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1284795203036789, 'scale_pos_weight': 514.2506478675947}. Best is trial 1 with value: 0.5319148936170213.
[I 2026-05-14 15:35:34,333] Trial 22 finished with value: 0.5319148936170213 and parameters: {'n_estimators': 142, 'max_depth': 6, 'learning_rate': 0.12459049919006343, 'scale_pos_weight': 526.2709059076485}. Best is trial 1 with value: 0.5319148936170213.
[I 2026-05-14 15:35:37,711] Trial 23 finished with value: 0.5319148936170213 and parameters: {'n_estimators': 202, 'max_depth': 6, 'learning_rate': 0.11627996434369518, 'scale_pos_weight': 571.1388651233351}. Best is trial 1 with value: 0.5319148936170213.
[I 2026-05-14 15:35:42,881] Trial 24 finished with value: 0.5319148936170213 and parameters: {'n_estimators': 137, 'max_depth': 5, 'learning_rate': 0.09504209649985827, 'scale_pos_weight': 512.5130056861078}. Best is trial 1 with value: 0.5319148936170213.
[I 2026-05-14 15:35:45,153] Trial 25 finished with value: 0.5319148936170213 and parameters: {'n_estimators': 272, 'max_depth': 4, 'learning_rate': 0.13523581536865836, 'scale_pos_weight': 528.6089190401639}. Best is trial 1 with value: 0.5319148936170213.
[I 2026-05-14 15:35:51,208] Trial 26 finished with value: 0.5240641711229946 and parameters: {'n_estimators': 228, 'max_depth': 5, 'learning_rate': 0.14618608390225138, 'scale_pos_weight': 551.468664534594}. Best is trial 1 with value: 0.5319148936170213.
[I 2026-05-14 15:35:59,458] Trial 27 finished with value: 0.5319148936170213 and parameters: {'n_estimators': 189, 'max_depth': 6, 'learning_rate': 0.1133152231041094, 'scale_pos_weight': 486.4022074378657}. Best is trial 1 with value: 0.5319148936170213.
[I 2026-05-14 15:36:01,179] Trial 28 finished with value: 0.5319148936170213 and parameters: {'n_estimators': 286, 'max_depth': 5, 'learning_rate': 0.05252889966169397, 'scale_pos_weight': 453.00362604517284}. Best is trial 1 with value: 0.5319148936170213.
[I 2026-05-14 15:36:03,619] Trial 29 finished with value: 0.5319148936170213 and parameters: {'n_estimators': 317, 'max_depth': 4, 'learning_rate': 0.13182331985386048, 'scale_pos_weight': 522.1080272804642}. Best is trial 1 with value: 0.5319148936170213.
[I 2026-05-14 15:36:06,407] A new study created in memory with name: no-name-f2619226-961a-42cb-b533-d6c1708b0b79
[I 2026-05-14 15:36:12,673] Trial 0 finished with value: 0.8627450980392157 and parameters: {'n_estimators': 364, 'max_depth': 5, 'learning_rate': 0.15527036237707648, 'scale_pos_weight': 614.6183957861706}. Best is trial 0 with value: 0.8627450980392157.
[I 2026-05-14 15:36:16,881] Trial 1 finished with value: 0.8349514563106796 and parameters: {'n_estimators': 192, 'max_depth': 7, 'learning_rate': 0.18778076914177327, 'scale_pos_weight': 423.08897415057726}. Best is trial 0 with value: 0.8627450980392157.
[I 2026-05-14 15:36:19,641] Trial 2 finished with value: 0.6433566433566433 and parameters: {'n_estimators': 219, 'max_depth': 3, 'learning_rate': 0.1255413863616947, 'scale_pos_weight': 574.9295430700131}. Best is trial 0 with value: 0.8627450980392157.
[I 2026-05-14 15:36:22,318] Trial 3 finished with value: 0.8301886792452831 and parameters: {'n_estimators': 159, 'max_depth': 7, 'learning_rate': 0.055141038475435195, 'scale_pos_weight': 491.7020790922146}. Best is trial 0 with value: 0.8627450980392157.
[I 2026-05-14 15:36:28,629] Trial 4 finished with value: 0.8380952380952381 and parameters: {'n_estimators': 325, 'max_depth': 7, 'learning_rate': 0.08946885055638089, 'scale_pos_weight': 427.802913589369}. Best is trial 0 with value: 0.8627450980392157.
[I 2026-05-14 15:36:37,387] Trial 5 finished with value: 0.8269230769230769 and parameters: {'n_estimators': 338, 'max_depth': 6, 'learning_rate': 0.055045368591225836, 'scale_pos_weight': 538.816737055376}. Best is trial 0 with value: 0.8627450980392157.
[I 2026-05-14 15:36:43,507] Trial 6 finished with value: 0.8461538461538461 and parameters: {'n_estimators': 289, 'max_depth': 6, 'learning_rate': 0.11231397777423265, 'scale_pos_weight': 551.2527332254542}. Best is trial 0 with value: 0.8627450980392157.
[I 2026-05-14 15:36:47,235] Trial 7 finished with value: 0.743801652892562 and parameters: {'n_estimators': 372, 'max_depth': 3, 'learning_rate': 0.10120758669172626, 'scale_pos_weight': 419.39831207022274}. Best is trial 0 with value: 0.8627450980392157.
[I 2026-05-14 15:36:52,501] Trial 8 finished with value: 0.8301886792452831 and parameters: {'n_estimators': 361, 'max_depth': 5, 'learning_rate': 0.07074657054402457, 'scale_pos_weight': 558.6259968418938}. Best is trial 0 with value: 0.8627450980392157.
[I 2026-05-14 15:36:58,330] Trial 9 finished with value: 0.819047619047619 and parameters: {'n_estimators': 106, 'max_depth': 6, 'learning_rate': 0.1451847152543168, 'scale_pos_weight': 548.4744648498456}. Best is trial 0 with value: 0.8627450980392157.
[I 2026-05-14 15:37:02,810] Trial 10 finished with value: 0.8461538461538461 and parameters: {'n_estimators': 270, 'max_depth': 4, 'learning_rate': 0.17485471419839438, 'scale_pos_weight': 616.0798371016017}. Best is trial 0 with value: 0.8627450980392157.
[I 2026-05-14 15:37:08,980] Trial 11 finished with value: 0.8627450980392157 and parameters: {'n_estimators': 279, 'max_depth': 5, 'learning_rate': 0.1538485769004994, 'scale_pos_weight': 614.9425569727458}. Best is trial 0 with value: 0.8627450980392157.
[I 2026-05-14 15:37:23,777] Trial 12 finished with value: 0.8514851485148515 and parameters: {'n_estimators': 397, 'max_depth': 5, 'learning_rate': 0.15642691585360116, 'scale_pos_weight': 620.0437726673543}. Best is trial 0 with value: 0.8627450980392157.
[I 2026-05-14 15:37:27,336] Trial 13 finished with value: 0.8543689320388349 and parameters: {'n_estimators': 308, 'max_depth': 4, 'learning_rate': 0.15531518547812137, 'scale_pos_weight': 600.046131763646}. Best is trial 0 with value: 0.8627450980392157.
[I 2026-05-14 15:37:32,492] Trial 14 finished with value: 0.8461538461538461 and parameters: {'n_estimators': 271, 'max_depth': 4, 'learning_rate': 0.19838460860937596, 'scale_pos_weight': 509.8137747319215}. Best is trial 0 with value: 0.8627450980392157.
[I 2026-05-14 15:37:35,132] Trial 15 finished with value: 0.8543689320388349 and parameters: {'n_estimators': 230, 'max_depth': 5, 'learning_rate': 0.13373348309078498, 'scale_pos_weight': 587.3393428634117}. Best is trial 0 with value: 0.8627450980392157.
[I 2026-05-14 15:37:43,633] Trial 16 finished with value: 0.8461538461538461 and parameters: {'n_estimators': 394, 'max_depth': 5, 'learning_rate': 0.17139831287069407, 'scale_pos_weight': 484.14359507028763}. Best is trial 0 with value: 0.8627450980392157.
[I 2026-05-14 15:37:48,628] Trial 17 finished with value: 0.8543689320388349 and parameters: {'n_estimators': 339, 'max_depth': 4, 'learning_rate': 0.14154305906352865, 'scale_pos_weight': 593.0265475301388}. Best is trial 0 with value: 0.8627450980392157.
[I 2026-05-14 15:37:51,816] Trial 18 finished with value: 0.8543689320388349 and parameters: {'n_estimators': 245, 'max_depth': 6, 'learning_rate': 0.16607714610615232, 'scale_pos_weight': 456.7492736763326}. Best is trial 0 with value: 0.8627450980392157.
[I 2026-05-14 15:37:55,605] Trial 19 finished with value: 0.8543689320388349 and parameters: {'n_estimators': 306, 'max_depth': 4, 'learning_rate': 0.11472650420559556, 'scale_pos_weight': 573.5509053386913}. Best is trial 0 with value: 0.8627450980392157.
[I 2026-05-14 15:37:58,428] Trial 20 finished with value: 0.8461538461538461 and parameters: {'n_estimators': 192, 'max_depth': 5, 'learning_rate': 0.18356962753296485, 'scale_pos_weight': 532.007605691176}. Best is trial 0 with value: 0.8627450980392157.
[I 2026-05-14 15:38:03,922] Trial 21 finished with value: 0.8543689320388349 and parameters: {'n_estimators': 309, 'max_depth': 4, 'learning_rate': 0.1542146989452008, 'scale_pos_weight': 603.1801866681365}. Best is trial 0 with value: 0.8627450980392157.
[I 2026-05-14 15:38:07,684] Trial 22 finished with value: 0.8073394495412844 and parameters: {'n_estimators': 351, 'max_depth': 3, 'learning_rate': 0.15274115793353016, 'scale_pos_weight': 604.5055406107102}. Best is trial 0 with value: 0.8627450980392157.
[I 2026-05-14 15:38:12,013] Trial 23 finished with value: 0.8627450980392157 and parameters: {'n_estimators': 286, 'max_depth': 5, 'learning_rate': 0.13458117608182146, 'scale_pos_weight': 577.2451862754134}. Best is trial 0 with value: 0.8627450980392157.
[I 2026-05-14 15:38:18,185] Trial 24 finished with value: 0.8712871287128713 and parameters: {'n_estimators': 269, 'max_depth': 5, 'learning_rate': 0.13251661155583588, 'scale_pos_weight': 575.6738431802323}. Best is trial 24 with value: 0.8712871287128713.
[I 2026-05-14 15:38:23,573] Trial 25 finished with value: 0.8380952380952381 and parameters: {'n_estimators': 259, 'max_depth': 6, 'learning_rate': 0.12781776821126742, 'scale_pos_weight': 618.9858707164187}. Best is trial 24 with value: 0.8712871287128713.
[I 2026-05-14 15:38:30,397] Trial 26 finished with value: 0.8380952380952381 and parameters: {'n_estimators': 210, 'max_depth': 5, 'learning_rate': 0.11344082640858232, 'scale_pos_weight': 562.2936300664027}. Best is trial 24 with value: 0.8712871287128713.
[I 2026-05-14 15:38:32,378] Trial 27 finished with value: 0.8269230769230769 and parameters: {'n_estimators': 133, 'max_depth': 6, 'learning_rate': 0.16232308285605737, 'scale_pos_weight': 584.239384403995}. Best is trial 24 with value: 0.8712871287128713.
[I 2026-05-14 15:38:37,262] Trial 28 finished with value: 0.8461538461538461 and parameters: {'n_estimators': 240, 'max_depth': 5, 'learning_rate': 0.14454818704234343, 'scale_pos_weight': 605.5140829167315}. Best is trial 24 with value: 0.8712871287128713.
[I 2026-05-14 15:38:40,262] Trial 29 finished with value: 0.8823529411764706 and parameters: {'n_estimators': 173, 'max_depth': 5, 'learning_rate': 0.19440908370862237, 'scale_pos_weight': 518.7928890363766}. Best is trial 29 with value: 0.8823529411764706.
[2026-05-14 14:19:02] ============================================================
[2026-05-14 14:19:02] EXPERIMENT 1: Minimal Viable Baseline
[2026-05-14 14:19:02] ============================================================
[2026-05-14 14:19:02] Configuration:
[2026-05-14 14:19:02]   Encoder: 2-layer MLP (hidden=128)
[2026-05-14 14:19:02]   Embedding dim: half of input features (min 8, max 64)
[2026-05-14 14:19:02]   Codebook size: embedding_dim * 4
[2026-05-14 14:19:02]   Quantization: STE
[2026-05-14 14:19:02]   Epochs: 100
[2026-05-14 14:19:02]   Runs: 5
[2026-05-14 14:19:02] ============================================================
[2026-05-14 14:19:02] 
============================================================
[2026-05-14 14:19:02] EXPERIMENT 1 - RUN 1/5
[2026-05-14 14:19:02] Dataset: creditcard, Seed: 100
[2026-05-14 14:19:02] ============================================================
[2026-05-14 14:19:03] Data: Train=199364, Val=42721, Test=42722
[2026-05-14 14:19:03] Fraud ratio: Train=0.0019, Test=0.0012
[2026-05-14 14:19:03] Input features: 29, Embedding dim: 14, Codebook: 56
[2026-05-14 14:19:03] 
Step 1: Evaluating RAW baseline...
[2026-05-14 14:21:12]   Raw F1: 0.7379, Acc: 0.9994, Prec: 0.7451, Rec: 0.7308
[2026-05-14 14:21:12] 
  Training CONTINUOUS encoder (emb_dim=14)...
[2026-05-14 14:22:56]     Epoch  20 | Cls Loss: 0.0014
[2026-05-14 14:24:49]     Epoch  40 | Cls Loss: 0.0010
[2026-05-14 14:26:49]     Epoch  60 | Cls Loss: 0.0009
[2026-05-14 14:28:49]     Epoch  80 | Cls Loss: 0.0009
[2026-05-14 14:30:47]     Epoch 100 | Cls Loss: 0.0009
[2026-05-14 14:30:47] 
Step 2: Evaluating CONTINUOUS embeddings...
[2026-05-14 14:32:54]   CONTINUOUS F1: 0.7423, Acc: 0.9994, Prec: 0.8000, Rec: 0.6923
[2026-05-14 14:32:54] 
  Training QUANTIZED encoder (emb_dim=14)...
[2026-05-14 14:34:56]     Epoch  20 | Cls Loss: 0.0026
[2026-05-14 14:36:59]     Epoch  40 | Cls Loss: 0.0020
[2026-05-14 14:39:01]     Epoch  60 | Cls Loss: 0.0017
[2026-05-14 14:41:02]     Epoch  80 | Cls Loss: 0.0017
[2026-05-14 14:43:04]     Epoch 100 | Cls Loss: 0.0021
[2026-05-14 14:43:04] 
Step 2: Evaluating QUANTIZED embeddings...
[2026-05-14 14:44:18]   QUANTIZED F1: 0.5429, Acc: 0.9985, Prec: 0.4318, Rec: 0.7308
[2026-05-14 14:44:18] 
------------------------------------------------------------
[2026-05-14 14:44:18] RETENTION SUMMARY:
[2026-05-14 14:44:18]   Raw F1:           0.7379
[2026-05-14 14:44:18]   Continuous F1:    0.7423 (100.6% of raw)
[2026-05-14 14:44:18]   Quantized F1:     0.5429 (73.6% of raw)
[2026-05-14 14:44:18]   Quant vs Cont:    73.1% retention
[2026-05-14 14:44:18] ------------------------------------------------------------
[2026-05-14 14:44:18] WARNING: Quantized F1 < 0.70 - consider debugging!
[2026-05-14 14:44:18] WARNING: Quantized retains <90% of continuous - check VQ configuration!
[2026-05-14 14:44:18] Results saved to: results/creditcard_20260514_141901/exp1_minimal_baseline/exp1_run1_results.json
[2026-05-14 14:44:18] 
============================================================
[2026-05-14 14:44:18] EXPERIMENT 1 - RUN 2/5
[2026-05-14 14:44:18] Dataset: creditcard, Seed: 200
[2026-05-14 14:44:18] ============================================================
[2026-05-14 14:44:18] Data: Train=199364, Val=42721, Test=42722
[2026-05-14 14:44:18] Fraud ratio: Train=0.0019, Test=0.0012
[2026-05-14 14:44:18] Input features: 29, Embedding dim: 14, Codebook: 56
[2026-05-14 14:44:18] 
Step 1: Evaluating RAW baseline...
[2026-05-14 14:47:14]   Raw F1: 0.7647, Acc: 0.9994, Prec: 0.7800, Rec: 0.7500
[2026-05-14 14:47:14] 
  Training CONTINUOUS encoder (emb_dim=14)...
[2026-05-14 14:48:58]     Epoch  20 | Cls Loss: 0.0014
[2026-05-14 14:50:45]     Epoch  40 | Cls Loss: 0.0010
[2026-05-14 14:52:40]     Epoch  60 | Cls Loss: 0.0005
[2026-05-14 14:54:40]     Epoch  80 | Cls Loss: 0.0008
[2026-05-14 14:56:36]     Epoch 100 | Cls Loss: 0.0010
[2026-05-14 14:56:36] 
Step 2: Evaluating CONTINUOUS embeddings...
[2026-05-14 14:58:30]   CONTINUOUS F1: 0.7290, Acc: 0.9993, Prec: 0.7091, Rec: 0.7500
[2026-05-14 14:58:30] 
  Training QUANTIZED encoder (emb_dim=14)...
[2026-05-14 15:00:32]     Epoch  20 | Cls Loss: 0.0025
[2026-05-14 15:02:34]     Epoch  40 | Cls Loss: 0.0021
